Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
QCL,Crops and livestock products,1,World,5419,Yield,112,Maize (corn),2015,2015,100 g/ha,55158,A,Official figure,
QCL,Crops and livestock products,1,World,5510,Production,112,Maize (corn),2015,2015,t,1053833197,A,Official figure,
QCL,Crops and livestock products,1,World,5312,Area harvested,112,Maize (corn),2016,2016,ha,194117749,A,Official figure,
QCL,Crops and livestock products,1,World,5419,Yield,112,Maize (corn),2016,2016,100 g/ha,57883,A,Official figure,
QCL,Crops and livestock products,1,World,5510,Production,112,Maize (corn),2016,2016,t,1123613865,A,Official figure,
QCL,Crops and livestock products,1,World,5312,Area harvested,112,Maize (corn),2017,2017,ha,198573810,A,Official figure,
QCL,Crops and livestock products,1,World,5419,Yield,112,Maize (corn),2017,2017,100 g/ha,57425,A,Official figure,
QCL,Crops and livestock products,1,World,5510,Production,112,Maize (corn),2017,2017,t,1140319594,A,Official figure,
QCL,Crops and livestock products,1,World,5312,Area harvested,112,Maize (corn),2018,2018,ha,195252258,A,Official figure,
QCL,Crops and livestock products,1,World,5419,Yield,112,Maize (corn),2018,2018,100 g/ha,57583,A,Official figure,
QCL,Crops and livestock products,1,World,5510,Production,112,Maize (corn),2018,2018,t,1124325184,A,Official figure,
QCL,Crops and livestock products,1,World,5312,Area harvested,112,Maize (corn),2019,2019,ha,193676716,A,Official figure,
QCL,Crops and livestock products,1,World,5419,Yield,112,Maize (corn),2019,2019,100 g/ha,58744,A,Official figure,
QCL,Crops and livestock products,1,World,5510,Production,112,Maize (corn),2019,2019,t,1137729775,A,Official figure,
QCL,Crops and livestock products,1,World,5312,Area harvested,112,Maize (corn),2020,2020,ha,199275404,A,Official figure,
QCL,Crops and livestock products,1,World,5419,Yield,112,Maize (corn),2020,2020,100 g/ha,57998,A,Official figure,
QCL,Crops and livestock products,1,World,5510,Production,112,Maize (corn),2020,2020,t,1155754013,A,Official figure,
QCL,Crops and livestock products,1,World,5312,Area harvested,112,Maize (corn),2021,2021,ha,205694243,A,Official figure,
QCL,Crops and livestock products,1,World,5419,Yield,112,Maize (corn),2021,2021,100 g/ha,58728,A,Official figure,
QCL,Crops and livestock products,1,World,5510,Production,112,Maize (corn),2021,2021,t,1207996142,A,Official figure,
QCL,Crops and livestock products,1,World,5312,Area harvested,112,Maize (corn),2022,2022,ha,203470007,E,Estimated value,
QCL,Crops and livestock products,1,World,5419,Yield,112,Maize (corn),2022,2022,100 g/ha,57183,E,Estimated value,
QCL,Crops and livestock products,1,World,5510,Production,112,Maize (corn),2022,2022,t,1163497383,E,Estimated value,
QCL,Crops and livestock products,21,Northern America,5312,Area harvested,112,Maize (corn),1961,1961,ha,23484920,A,Official figure,
QCL,Crops and livestock products,21,Northern America,5419,Yield,112,Maize (corn),1961,1961,100 g/ha,39229,A,Official figure,
QCL,Crops and livestock products,21,Northern America,5510,Production,112,Maize (corn),1961,1961,t,92129912,A,Official figure,
QCL,Crops and livestock products,21,Northern America,5312,Area harvested,112,Maize (corn),1962,1962,ha,22728784,A,Official figure,
QCL,Crops and livestock products,21,Northern America,5419,Yield,112,Maize (corn),1962,1962,100 g/ha,40676,A,Official figure,
QCL,Crops and livestock products,21,Northern America,5510,Production,112,Maize (corn),1962,1962,t,92452368,A,Official figure,
QCL,Crops and livestock products,21,Northern America,5312,Area harvested,112,Maize (corn),1963,1963,ha,24191586,A,Official figure,
QCL,Crops and livestock products,21,Northern America,5419,Yield,112,Maize (corn),1963,1963,100 g/ha,42582,A,Official figure,
QCL,Crops and livestock products,21,Northern America,5510,Production,112,Maize (corn),1963,1963,t,103012118,A,Official figure,
QCL,Crops and livestock products,21,Northern America,5312,Area harvested,112,Maize (corn),1964,1964,ha,22672073,A,Official figure,
QCL,Crops and livestock products,21,Northern America,5419,Yield,112,Maize (corn),1964,1964,100 g/ha,39629,A,Official figure,
QCL,Crops and livestock products,21,Northern America,5510,Production,112,Maize (corn),1964,1964,t,89846189,A,Official figure,
QCL,Crops and livestock products,21,Northern America,5312,Area harvested,112,Maize (corn),1965,1965,ha,22717923,A,Official figure,
QCL,Crops and livestock products,21,Northern America,5419,Yield,112,Maize (corn),1965,1965,100 g/ha,46540,A,Official figure,
QCL,Crops and livestock products,21,Northern America,5510,Production,112,Maize (corn),1965,1965,t,105728237,A,Official figure,
QCL,Crops and livestock products,21,Northern America,5312,Area harvested,112,Maize (corn),1966,1966,ha,23393983,A,Official figure,
QCL,Crops and livestock products,21,Northern America,5419,Yield,112,Maize (corn),1966,1966,100 g/ha,45972,A,Official figure,
QCL,Crops and livestock products,21,Northern America,5510,Production,112,Maize (corn),1966,1966,t,107546206,A,Official figure,
QCL,Crops and livestock products,21,Northern America,5312,Area harvested,112,Maize (corn),1967,1967,ha,24916188,A,Official figure,
QCL,Crops and livestock products,21,Northern America,5419,Yield,112,Maize (corn),1967,1967,100 g/ha,50305,A,Official figure,
QCL,Crops and livestock products,21,Northern America,5510,Production,112,Maize (corn),1967,1967,t,125341280,A,Official figure,
